docentes,producao,produtividade,mestrados,doutorados,tem_doutorado,mestrados_pprof,doutorados_pprof
24.75,53,2.1414141414141414,108,14,1,4.363636363636363,0.5656565656565656
14,78,5.571428571428571,77,0,1,5.5,0
10,23,2.3,50,0,0,5,0
14,5,0.35714285714285715,25,0,0,1.7857142857142858,0
9.5,17,1.7894736842105263,31,0,0,3.263157894736842,0
20.75,79,3.8072289156626504,75,24,1,3.6144578313253013,1.1566265060240963
16,50,3.125,60,5,1,3.75,0.3125
15.75,2,0.12698412698412698,129,0,0,8.19047619047619,0
8.5,18,2.1176470588235294,45,0,0,5.294117647058823,0
9,14,1.5555555555555556,3,0,0,0.3333333333333333,0
26.25,99,3.7714285714285714,108,29,1,4.114285714285714,1.1047619047619048
8.5,6,0.7058823529411765,12,0,0,1.411764705882353,0
13.5,14,1.037037037037037,94,0,0,6.962962962962963,0
20,52,2.6,108,0,0,5.4,0
31,64,2.064516129032258,104,40,1,3.3548387096774195,1.2903225806451613
58.5,187,3.1965811965811968,433,144,1,7.401709401709402,2.4615384615384617
32,122,3.8125,92,0,0,2.875,0
14,32,2.2857142857142856,26,0,0,1.8571428571428572,0
10.75,29,2.697674418604651,71,0,0,6.604651162790698,0
12.5,2,0.16,93,0,0,7.44,0
14,48,3.4285714285714284,23,0,0,1.6428571428571428,0
17.25,18,1.0434782608695652,54,0,0,3.130434782608696,0
19,50,2.6315789473684212,0,20,1,0,1.0526315789473684
23.25,45,1.935483870967742,41,0,0,1.7634408602150538,0
22,51,2.3181818181818183,8,0,1,0.36363636363636365,0
10,8,0.8,41,0,0,4.1,0
22.25,43,1.9325842696629214,110,5,1,4.943820224719101,0.2247191011235955
38.75,194,5.006451612903226,154,87,1,3.9741935483870967,2.2451612903225806
28.25,101,3.575221238938053,101,16,1,3.575221238938053,0.5663716814159292
40,138,3.45,110,56,1,2.75,1.4
25.25,106,4.198019801980198,146,68,1,5.782178217821782,2.6930693069306932
11.25,8,0.7111111111111111,55,0,0,4.888888888888889,0
17.5,27,1.542857142857143,89,0,1,5.085714285714285,0
47.5,231,4.863157894736842,213,49,1,4.484210526315789,1.0315789473684212
10.25,29,2.8292682926829267,73,0,0,7.121951219512195,0
10.25,9,0.8780487804878049,39,0,0,3.8048780487804876,0
9.25,10,1.0810810810810811,33,0,0,3.5675675675675675,0
13.5,19,1.4074074074074074,58,0,0,4.296296296296297,0
25.75,48,1.8640776699029127,71,4,1,2.7572815533980584,0.1553398058252427
11.75,39,3.3191489361702127,52,0,1,4.425531914893617,0
10,26,2.6,55,0,1,5.5,0
35.5,67,1.8873239436619718,125,34,1,3.5211267605633805,0.9577464788732394
10,8,0.8,28,0,0,2.8,0
32.75,144,4.396946564885496,120,57,1,3.66412213740458,1.7404580152671756
14.25,36,2.526315789473684,56,0,0,3.9298245614035086,0
67.25,355,5.278810408921933,220,152,1,3.2713754646840147,2.2602230483271377
41.5,235,5.662650602409639,151,73,1,3.63855421686747,1.7590361445783131
21.5,48,2.2325581395348837,78,0,0,3.627906976744186,0
21,75,3.5714285714285716,24,0,1,1.1428571428571428,0
29.75,49,1.6470588235294117,60,0,1,2.0168067226890756,0
10.5,15,1.4285714285714286,29,0,0,2.761904761904762,0
26,78,3,101,51,1,3.8846153846153846,1.9615384615384615
8.25,20,2.4242424242424243,48,0,0,5.818181818181818,0
15.75,49,3.111111111111111,46,23,1,2.9206349206349205,1.4603174603174602
10.25,23,2.2439024390243905,50,0,0,4.878048780487805,0
18,44,2.4444444444444446,44,0,0,2.4444444444444446,0
12.25,22,1.7959183673469388,27,0,0,2.204081632653061,0
30.25,76,2.512396694214876,116,4,1,3.834710743801653,0.1322314049586777
13,12,0.9230769230769231,33,0,0,2.5384615384615383,0
10,6,0.6,45,0,0,4.5,0
54.25,238,4.387096774193548,177,73,1,3.262672811059908,1.3456221198156681
28.5,40,1.4035087719298245,83,0,0,2.912280701754386,0
21.75,45,2.0689655172413794,56,0,1,2.574712643678161,0
20.75,25,1.2048192771084338,38,0,0,1.8313253012048192,0
23,92,4,119,37,1,5.173913043478261,1.608695652173913
14.25,42,2.9473684210526314,103,0,1,7.228070175438597,0
8.25,4,0.48484848484848486,10,0,0,1.2121212121212122,0
16.75,38,2.2686567164179103,51,0,0,3.044776119402985,0
11.25,49,4.355555555555555,0,14,1,0,1.2444444444444445
14,6,0.42857142857142855,13,0,0,0.9285714285714286,0
31,36,1.1612903225806452,102,0,0,3.2903225806451615,0
23.5,65,2.765957446808511,60,13,1,2.5531914893617023,0.5531914893617021
14.75,0,0,50,0,0,3.389830508474576,0
